,Site.ID,Habitat,Depth,Sample.Type,Collection.date,rich,abundance,H,D1,J
1,IN1,Invaded,23.3,Vegetation,11-May-18,13,73,2.094795352,0.836554701,0.816700473
2,IN2,Invaded,58,Vegetation,16-May-18,14,330,1.115348159,0.512727273,0.422631273
3,IN3,Invaded,22.3,Vegetation,16-May-18,17,1352,1.02975216,0.467875775,0.363457331
4,IN4,Invaded,28.7,Vegetation,14-May-18,16,263,1.375492839,0.540704651,0.496104174
5,IN5,Invaded,42,Vegetation,16-May-18,14,431,1.095344681,0.445938599,0.415051492
6,IN6,Invaded,26.3,Vegetation,11-May-18,15,311,1.76553772,0.727784039,0.651959007
7,IN7,Invaded,70.5,Vegetation,14-May-18,16,144,1.648428363,0.654803241,0.594544856
8,IN8,Invaded,48.3,Vegetation,11-May-18,15,1767,1.287522554,0.660354631,0.475442646
9,RES1,Treated,26.7,Vegetation,15-May-18,19,9851,1.790319028,0.788986082,0.608034006
10,RES2,Treated,27.2,Vegetation,15-May-18,16,3089,1.795770247,0.747569803,0.647687208
11,RES3,Treated,29.7,Vegetation,15-May-18,16,3180,1.416413942,0.634889245,0.510863342
12,RES4,Treated,35.3,Vegetation,15-May-18,13,2193,1.314549246,0.555633114,0.512504951
13,RES5,Treated,21.7,Vegetation,15-May-18,14,1286,1.799265595,0.779816858,0.681783444
14,RES6,Treated,51,Vegetation,15-May-18,18,2471,1.946433193,0.822346013,0.673419669
15,RES7,Treated,24,Vegetation,15-May-18,18,6047,2.007353381,0.841385718,0.694496608
16,RES8,Treated,23.2,Vegetation,15-May-18,18,2213,1.958722659,0.816057357,0.677671533
17,RESOW,Treated,49.7,Vegetation,15-May-18,9,42,1.866690102,0.81292517,0.849567277
18,UNM1,Remnant,16.3,Vegetation,11-May-18,13,461,1.549620304,0.65978421,0.604152398
19,UNM2,Remnant,16.7,Vegetation,14-May-18,20,402,1.849791564,0.773743224,0.617475594
20,UNM3,Remnant,7,Vegetation,14-May-18,15,234,1.904413083,0.782781796,0.703241425
21,UNM4,Remnant,15,Vegetation,14-May-18,16,410,1.798741399,0.760440214,0.648758824
22,UNM5,Remnant,34.8,Vegetation,14-May-18,26,520,2.068634112,0.786989645,0.634921061
23,UNM6,Remnant,36.2,Vegetation,14-May-18,22,365,2.168902802,0.837935823,0.701673573
24,UNT1,Remnant,24.7,Vegetation,14-May-18,21,780,1.892511081,0.796370809,0.621611803
25,UNT2,Remnant,32.8,Vegetation,14-May-18,15,385,2.039922986,0.841612414,0.753281082
