"","Sites","Treatment","Date","Year","N","YrCol","NMDS1","NMDS2"
"1","IN1","Invaded","20-May-18",2018,"Col._1","2018Col._1",-0.00405493402670325,-0.0236518225960507
"2","IN2","Invaded","20-May-18",2018,"Col._1","2018Col._1",-0.0102266652217565,-0.135495733630801
"3","IN3","Invaded","20-May-18",2018,"Col._1","2018Col._1",-0.129586335900968,-0.0726410131907106
"4","IN4","Invaded","20-May-18",2018,"Col._1","2018Col._1",-0.0577870582838261,-0.0316877618913327
"5","IN5","Invaded","20-May-18",2018,"Col._1","2018Col._1",-0.193152379980532,-0.188317165406794
"6","IN6","Invaded","20-May-18",2018,"Col._1","2018Col._1",-0.0923901798645379,0.0422270786055551
"7","IN7","Invaded","20-May-18",2018,"Col._1","2018Col._1",-0.139706406499963,-0.337440276991853
"8","IN8","Invaded","20-May-18",2018,"Col._1","2018Col._1",0.0274631834951127,0.175047704759446
"9","RES1","Treated","20-May-18",2018,"Col._1","2018Col._1",0.238322591388508,-0.198811352547143
"10","RES2","Treated","20-May-18",2018,"Col._1","2018Col._1",0.260101738353623,0.0987450082436097
"11","RES3","Treated","20-May-18",2018,"Col._1","2018Col._1",0.0318187556357209,0.0738993335588439
"12","RES4","Treated","20-May-18",2018,"Col._1","2018Col._1",0.167790055582279,-0.0604115955521774
"13","RES6","Treated","20-May-18",2018,"Col._1","2018Col._1",0.278921405316611,-0.0589424294109211
"14","RES7","Treated","20-May-18",2018,"Col._1","2018Col._1",0.215592893979988,0.0313405099517539
"15","RES8","Treated","20-May-18",2018,"Col._1","2018Col._1",0.260625599536758,-0.079255859907351
"16","RESOW","Treated","20-May-18",2018,"Col._1","2018Col._1",0.214633203753751,0.0985047069722285
"17","UNM1","Uninvaded","20-May-18",2018,"Col._1","2018Col._1",-0.20663934459747,0.0857297400685349
"18","UNM2","Uninvaded","20-May-18",2018,"Col._1","2018Col._1",-0.261012485321102,-0.0438766271866398
"19","UNM3","Uninvaded","20-May-18",2018,"Col._1","2018Col._1",-0.234260036148605,0.0152494969905282
"20","UNM4","Uninvaded","20-May-18",2018,"Col._1","2018Col._1",-0.125218016570599,0.273175088181036
"21","UNM5","Uninvaded","20-May-18",2018,"Col._1","2018Col._1",-0.0566450202993072,0.154155272374999
"22","UNM6","Uninvaded","20-May-18",2018,"Col._1","2018Col._1",-0.16945100827934,0.179485963529899
"23","UNT2","Uninvaded","20-May-18",2018,"Col._1","2018Col._1",0.0798649121689257,0.14297210661266
"24","UNT2","Uninvaded","20-May-18",2018,"Col._1","2018Col._1",-0.0950044682165666,-0.140000371537321
