Sites,Treatment,Date,Year,N,YrCol,Araneae,Curculionida,Carabidae,Anthicidae,Erotylidae,Cryptophagid,Latridiidae,Phalacridae,Coccinellida,Nitidulidae,Anthicidae.L,Collembola,Cecidomyiida,Sciaridae,Scatopsidae,Phoridae,Ceratopogoni,Chironomidae,Culicidae,Empididae,Ephydridae,Chloropidae,Anthomyiidae,Calliphorida,Dixidae,Syrphidae,Caenidae,Pteromalidae,Eulophidae,Aphelinidae,Ceraphronida,Scelionidae,Platygastrid,Braconidae,Ichneumonida,Eurytomidae,Mymaridae,Halictidae,Aphididae,Cicadellidae,Miridae,Coenagrionid,Thysanoptera,Hydroptilida,Leptoceridae,Polycentropo,Phryganeidae,Limnephilida,Crambidae
IN1,Invaded,05-Jun-18,2018,Col._2,2018Col._2,0.5,0,0,1,0.5,0,0,0,0,1,0,0.5,0,0,0,0,0.01013513,0.02486355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0.05882353,0,0,0.2,0,0.1764706,0
IN2,Invaded,05-Jun-18,2018,Col._2,2018Col._2,1,0,0,0.2,0,0,1,0,1,0,0,0,1,0,0,0.09090909,0,0.01030928,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111,0,0,0,0,0,0,0
IN3,Invaded,05-Jun-18,2018,Col._2,2018Col._2,0,0,0,0.4,0,1,0,0,1,1,0,0,0,0,0,0.4545455,0.006756757,0.00667071,0,0,0,1,0.5,0.5,1,0,0,0,0,0,0.3333333,1,1,0,0,0,0,0,0,0,0,0.3333333,0.05882353,0,0,0.2,0,0.05882353,0
IN4,Invaded,05-Jun-18,2018,Col._2,2018Col._2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0152027,0.02061856,1,0,0,0,0,0,0,0,0,0,0.09090909,1,0.3333333,0,0,0,0,0,0,0,0,0,0,0.4166667,0.1176471,0,0,0,0,0.7647059,0
IN5,Invaded,05-Jun-18,2018,Col._2,2018Col._2,0.1666667,0,0,0.8,0.5,0,0,0,0,0,0,0,0,0,0,1,0.000844595,0.02486355,0,0,0,0,0.5,1,0,0,0,0,0.2727273,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2352941,0
IN6,Invaded,05-Jun-18,2018,Col._2,2018Col._2,0.25,0,0,0.8,0,0,0,1,0,0,0,0,0,0,0,0.1818182,0.001689189,0.02850212,0,0,0,0,0,0.5,0,0,0,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0.05882353,0,0,0,0,0.1176471,0
IN7,Invaded,05-Jun-18,2018,Col._2,2018Col._2,0.3333333,0.5,0,0.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0.006064281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9411765,0
IN8,Invaded,05-Jun-18,2018,Col._2,2018Col._2,0.08333334,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1109763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5833333,0,0,0,0,0,1,0
INOW,Invaded,05-Jun-18,2018,Col._2,2018Col._2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.01773649,0.1194663,0,0.1666667,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
RES1,Treated,05-Jun-18,2018,Col._2,2018Col._2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.5979381,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333334,0,0,0,0,0,0,1
RES2,Treated,05-Jun-18,2018,Col._2,2018Col._2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07263514,1,0,0,0,0,0,0,0,0,1,0.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.05882353,0.4,0.09090909,0,0,0,1
RES3,Treated,05-Jun-18,2018,Col._2,2018Col._2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01351351,0.7210431,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.02777778,0,0.025,0.06060606,0.8,0,0,1
RES4,Treated,05-Jun-18,2018,Col._2,2018Col._2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.003378378,0.5081868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.05882353,0.15,0,0,1,0,0
RES6,Treated,05-Jun-18,2018,Col._2,2018Col._2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006756757,0.995755,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05555556,0.05882353,0.05,0.06060606,1,0,0,0
RES7,Treated,05-Jun-18,2018,Col._2,2018Col._2,0,0,0,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0.02702703,0.7089145,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.6,0.3333333,0.05882353,0
RES8,Treated,05-Jun-18,2018,Col._2,2018Col._2,0.08333334,0.5,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.01182432,0.4311704,0,0,0,0,0,0,0,0,0,0,0.09090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303,0,0,0,0
RESOW,Treated,05-Jun-18,2018,Col._2,2018Col._2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000844595,0.06185567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1176471,0.025,0.03030303,0.2,0,0,0
UNM1,Uninvaded,05-Jun-18,2018,Col._2,2018Col._2,0.08333334,0,0,0.4,0,0,1,0,0,0.25,0,0,0,0,0,0,0.04054054,0.007883566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0,0.05882353,0
UNM2,Uninvaded,05-Jun-18,2018,Col._2,2018Col._2,0.1666667,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.01689189,0.003638569,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2727273,0,0,0,0,0,0,0,0,0
UNM3,Uninvaded,05-Jun-18,2018,Col._2,2018Col._2,0.08333334,0.5,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.004222973,0.000606428,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
UNM5,Uninvaded,05-Jun-18,2018,Col._2,2018Col._2,0.08333334,0,0,0,0.5,0,1,0,0,0.75,0,1,0,1,0,0,0.01858108,0.00970285,0,0,0.5,0,0,1,0.75,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.09090909,0.25,0,0.2941177,0.025,0,0,0,0.1764706,0
UNM6,Uninvaded,05-Jun-18,2018,Col._2,2018Col._2,0.1666667,1,0,0.6,0,0,0,0,0,0.5,0,0,0,0,0,0,0.01013513,0.06549424,0,0,0.5,1,0,0,1,0,0,1,0.09090909,0,0,1,0,0,0,0,0,0,0,0,1,0.8055556,0.4705882,0,0,0,0,0,0
UNOW,Uninvaded,05-Jun-18,2018,Col._2,2018Col._2,0.08333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006756757,0.4190418,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.475,0.03030303,1,0.6666667,0,0
UNT1,Uninvaded,05-Jun-18,2018,Col._2,2018Col._2,0,0,1,0.8,0,1,1,0,1,0,0,0,0,0,0,0,0.005912162,0.04244997,0,0,0,1,0,1,0.75,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.1944444,1,0,0,0,0.3333333,0.8235294,0
UNT2,Uninvaded,05-Jun-18,2018,Col._2,2018Col._2,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0.02971498,0,0,0,0,0,0,0.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05882353,0.025,0,0,0,0,0
