ID,Habitat,Type,Lampyridae,Chironomidae,Ceratopogonidae,Culicidae,Dolichopodidae,Sciomyzidae,Tipulidae,Ephydridae,Tabanidae,Stratiomyidae,Cecidomyiidae ,Caenidae,Crambidae,Corduliidae,Coenagrionidae,Limnephilidae,Leptoceridae
IN1,Invaded,Aquatic,0,9,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
IN2,Invaded,Aquatic,0,6,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0
IN3,Invaded,Aquatic,0,38,8,2,0,0,0,0,0,0,3,0,0,0,0,4,2
IN4,Invaded,Aquatic,0,22,2,0,0,0,4,0,0,0,0,2,0,0,2,2,1
IN5,Invaded,Aquatic,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,4,3
IN6,Invaded,Aquatic,0,26,8,0,0,0,0,0,0,0,0,1,0,0,0,3,4
IN7,Invaded,Aquatic,0,13,0,0,0,0,0,0,0,0,1,0,0,0,2,3,1
IN8,Invaded,Aquatic,0,380,3,0,0,0,0,0,0,0,0,4,0,0,0,2,0
RES1,Treated,Aquatic,0,2675,670,0,0,0,0,0,0,0,0,871,0,0,1,0,8
RES2,Treated,Aquatic,0,1385,41,0,0,0,0,0,0,0,0,251,1,0,0,0,41
RES3,Treated,Aquatic,0,1747,33,0,0,0,0,5,0,0,0,70,0,0,2,0,19
RES4,Treated,Aquatic,0,1415,48,0,0,0,0,0,0,0,0,65,0,0,0,0,6
RES5,Treated,Aquatic,0,239,18,0,0,0,0,0,0,0,2,121,0,0,0,0,9
RES6,Treated,Aquatic,0,559,40,0,0,0,0,0,0,1,0,384,0,2,0,0,7
RES7,Treated,Aquatic,0,1109,132,0,0,1,0,0,0,0,1,180,0,0,0,2,3
RES8,Treated,Aquatic,0,616,26,0,0,0,0,0,0,0,0,181,1,0,0,0,4
RESOW,Treated,Aquatic,0,11,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0
UNM1,Uninvaded,Aquatic,7,28,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UNM2,Uninvaded,Aquatic,2,102,9,0,0,1,1,0,0,0,2,0,2,0,0,0,2
UNM3,Uninvaded,Aquatic,2,23,11,0,0,0,0,0,0,1,1,0,0,0,0,0,0
UNM4,Uninvaded,Aquatic,1,30,12,0,0,0,0,0,0,1,3,0,1,0,0,0,0
UNM5,Uninvaded,Aquatic,2,39,15,1,0,2,2,0,0,1,1,3,0,1,1,2,0
UNM6,Uninvaded,Aquatic,31,86,8,0,0,0,10,3,0,0,2,4,0,0,3,3,0
UNT1,Uninvaded,Aquatic,5,169,5,0,1,0,4,0,5,0,0,0,0,0,0,6,3
UNT2,Uninvaded,Aquatic,0,67,2,0,1,0,2,0,0,0,1,0,1,0,0,0,0
