"","ID","Habitat","Type","NMDS1","NMDS2"
"1","IN1","Invaded","Emerging",-0.125977114380636,-0.0937862780873219
"2","IN2","Invaded","Emerging",-0.85045164369003,-0.256207251885023
"3","IN3","Invaded","Emerging",-0.250125531346072,0.131743175016665
"4","IN4","Invaded","Emerging",-0.0500516141277697,-0.0393551620956032
"5","IN5","Invaded","Emerging",-0.648869848024281,0.0158031020772854
"6","IN6","Invaded","Emerging",-0.140529135934087,-0.265518084923075
"7","IN7","Invaded","Emerging",-0.683682194098663,-0.0628194935337587
"8","IN8","Invaded","Emerging",-0.243249323940551,-0.215225896349386
"9","RES1","Treated","Emerging",0.554198161016277,0.171345364121347
"10","RES2","Treated","Emerging",0.202088827186131,-0.15174461395757
"11","RES3","Treated","Emerging",0.278351404735192,-0.218241227074481
"12","RES4","Treated","Emerging",0.308344080365186,-0.230621452127161
"13","RES5","Treated","Emerging",0.258895579907233,-0.243280721355131
"14","RES6","Treated","Emerging",0.227840279145678,-0.248972305425165
"15","RES7","Treated","Emerging",0.283885785546044,-0.203974996863793
"16","RES8","Treated","Emerging",0.296104721051609,-0.19822547018323
"17","RESOW","Treated","Emerging",0.236031670398894,-0.358150529431342
"18","UNM1","Uninvaded","Emerging",0.220560238335998,-0.0504508518457002
"19","UNM2","Uninvaded","Emerging",0.238579126643557,0.0599685366835106
"20","UNM3","Uninvaded","Emerging",0.424074651947946,0.377711824565929
"21","UNM4","Uninvaded","Emerging",0.296833846386435,0.740954752222834
"22","UNM5","Uninvaded","Emerging",0.077775131450192,0.448230522169165
"23","UNM6","Uninvaded","Emerging",-0.0709481960514985,0.0258819489161031
"24","UNT1","Uninvaded","Emerging",-0.492071845332051,0.334611350908076
"25","UNT2","Uninvaded","Emerging",-0.347607057190732,0.530323758456824
