Species,MaxGroup,IV,Mean,StDev,pvalue
Araneae,2,39.5,39.4,5.51,0.4291
Acari,1,22,12.4,5.69,0.056
Curculionida,1,7.9,10.8,4.66,0.776
Staphylinida,2,14.7,13.4,4.95,0.3113
Carabidae,1,30.9,14,4.92,0.008
Anthicidae,2,75.3,22.8,6.09,0.0002
Throscidae,3,5.5,7,3.85,0.6259
Erotylidae,2,39.5,21.5,5.73,0.0126
Cryptophagid,2,12.3,11.7,4.77,0.3689
Latridiidae,2,43.1,18.8,5.52,0.0014
Phalacridae,2,8.8,10.9,4.66,0.6711
Scirtidae,1,12.8,8.1,3.92,0.1598
Coccinellida,2,51.4,19.3,5.83,0.0006
Lampyridae,2,49.5,13.7,5.12,0.0002
Chrysomelida,2,11.6,7.8,3.88,0.2128
Nitidulidae,2,31.7,10.2,4.61,0.0018
AnthiciLarv,2,13.1,8.9,4.15,0.2096
CocciLarvae,2,14.1,12.4,5.28,0.2913
ErotLarvae,2,26.7,8.3,4.23,0.0032
Collembola,2,23.3,10.4,4.81,0.0224
Cecidomyiida,2,28.6,13.3,4.89,0.0152
Sciaridae,3,13.8,12.4,4.85,0.3035
Scatopsidae,1,8.5,7.2,3.94,0.4037
Phoridae,2,41.1,18.6,6.27,0.005
Ceratopogoni,3,76.3,63.6,7.24,0.0434
Chironomidae,3,74.6,43.1,5.54,0.0002
Culicidae,2,54.9,23.1,7.18,0.0014
Chaoboridae,2,12.6,7.9,3.93,0.1382
Dolichopodid,1,57,17.6,5.72,0.0002
Empididae,3,13.6,8.1,3.92,0.1036
Psychodidae,1,8.5,7.2,4.03,0.3491
Ephydridae,2,50.8,37.5,5.71,0.025
Carnidae,2,24,16.5,5.31,0.0954
Sciomyzidae,2,10.8,14,4.87,0.6823
Ulidiidae,1,11.8,6.1,3.52,0.1694
Chloropidae,2,38,18.7,6.09,0.0114
Agromyzidae,3,10.5,11.1,4.78,0.5037
Anthomyzidae,1,11.8,6,3.52,0.1664
Drosophilida,1,29.1,11.8,4.88,0.0064
Muscidae,1,26.4,15.1,5.67,0.0476
Anthomyiidae,2,28.7,15.4,5.51,0.0296
Calliphorida,2,36.4,10.8,4.5,0.0004
Stratiomyida,2,20.9,20.6,6.63,0.4081
Tabanidae,3,18.2,8.5,4.49,0.0516
Tipulidae,2,26.3,13.9,5.47,0.0372
Dixidae,2,35,11.9,4.87,0.0018
Syrphidae,2,34.9,11.9,4.84,0.0018
Caenidae,3,47.2,28,6.83,0.0142
Baetidae,3,9.1,6,3.54,0.3323
Ephemerellid,3,9.1,5.9,3.53,0.3205
Pteromalidae,2,44.5,17.3,5.43,0.0006
Eulophidae,1,66.7,39.6,8.66,0.0054
Aphelinidae,1,11.7,11.8,4.81,0.3943
Ceraphronida,2,36.7,13.8,5.37,0.0036
Megaspilidae,2,13.3,5.9,3.51,0.0708
Scelionidae,1,34.9,23.2,6.38,0.0562
Platygastrid,2,21,10,4.61,0.0244
Braconidae,1,31,17.6,5.66,0.0322
Ichneumonida,1,44.6,16.2,4.98,0.0004
Pompilidae,2,12.6,9.1,4.41,0.239
Formicidae,2,8.4,7.2,3.92,0.3393
Diapriidae,1,13.3,11.7,4.68,0.2989
Sphecidae,1,9.4,7.2,3.93,0.2941
Eurytomidae,1,12.8,8.2,4.05,0.1648
Mymaridae,3,8.7,12.6,4.96,0.7708
Encyrtidae,2,9.3,7.1,3.93,0.2589
Halictidae,2,2.8,6.1,3.47,0.874
Aphididae,2,41.5,39.2,9.74,0.3929
Cicadellidae,2,69.7,26.9,7.08,0.0002
Anthocoridae,2,11.1,11.8,4.77,0.4961
Miridae,2,21.4,11.4,5.05,0.0536
Coccoidea,2,3.5,6,3.57,0.7399
Hemerobiidae,1,41.2,10.9,4.62,0.0002
Sisyridae,3,9.1,6,3.56,0.3337
Libellulidae,2,29.6,21.4,5.91,0.0954
Lestidae,2,26.7,16.2,5.05,0.0452
Coenagrionid,2,67.1,26.8,7.05,0.0004
Thysanoptera,2,63.7,30.4,7.11,0.0006
Hydroptilida,3,87.6,40.9,8.73,0.0002
Leptoceridae,3,62.9,34.6,6.27,0.0008
Molannidae,3,13.6,7.9,4.02,0.1142
Polycentropo,3,24.9,15.6,5.6,0.069
Phryganeidae,2,21,18,5.81,0.2525
Limnephilida,2,72.9,15.8,5.89,0.0002
Psocoptera,2,51.5,14.4,5.83,0.0002
Cosmopterigi,2,15.8,14.8,6.22,0.3885
Gelechiidae,2,13.3,6.1,3.58,0.0768
Gracillariid,1,3.6,7.5,3.93,0.9268
Noctuidae,2,14.8,8.2,4.12,0.1108
Crambidae,3,18.8,13.4,5.71,0.1858
