"","MDS1","MDS2","species"
"Anthicidae",-0.216925911836476,-0.535251986962101,"Anthicidae"
"Coccinellida",-0.207141828285898,-0.306409678819124,"Coccinellida"
"Lampyridae",-0.222730206541756,-0.336127890366332,"Lampyridae"
"Chironomidae",0.46439930914395,-0.169834350349758,"Chironomidae"
"Dolichopodid",-0.493615040509165,0.238789995015151,"Dolichopodid"
"Calliphorida",-0.214089995779803,-0.413375097368187,"Calliphorida"
"Pteromalidae",-0.337940545650485,-0.291167082189118,"Pteromalidae"
"Ichneumonida",-0.228896909612163,0.474534292078324,"Ichneumonida"
"Cicadellidae",-0.253899049092644,-0.310962207125671,"Cicadellidae"
"Hemerobiidae",-0.407645742845741,0.265799509617676,"Hemerobiidae"
"Coenagrionid",-0.180948712503648,-0.439370561994977,"Coenagrionid"
"Thysanoptera",-0.215296046551099,-0.30604024994492,"Thysanoptera"
"Hydroptilida",0.257750606910772,-0.0922300746919119,"Hydroptilida"
"Leptoceridae",0.408849048468363,0.0121527961030466,"Leptoceridae"
"Limnephilida",-0.180402065039193,-0.35014553978447,"Limnephilida"
"Psocoptera",-0.12457533405667,-0.448763874419878,"Psocoptera"
