"","site","Treatment","Year","TrtYr","NMDS1","NMDS2","NMDS3"
"1","1","Invaded","2017","Invaded2017",-0.348806357245274,0.0521327932953256,-0.321198673367726
"2","2","Invaded","2017","Invaded2017",-0.536850081648953,0.275353126193901,0.0366099966541306
"3","3","Invaded","2017","Invaded2017",-0.284020623298172,0.348306118262397,-0.162692373357307
"4","4","Invaded","2017","Invaded2017",-0.207232355352792,0.348109511515209,0.241682501876986
"5","5","Invaded","2017","Invaded2017",-0.490340375934099,0.130351937685643,-0.21644937336746
"6","6","Invaded","2017","Invaded2017",-0.544472090081583,0.0889570675701199,0.118575506327518
"7","7","Invaded","2017","Invaded2017",-0.511786934542218,-0.147727145795338,-0.400001991610181
"8","8","Invaded","2017","Invaded2017",-0.571326060921101,0.0318349416212757,-0.0572202869973791
"9","9","Invaded","2017","Invaded2017",0.62541209711426,0.0575906509363779,0.602876410439514
"10","10","Restored","2017","Restored2017",0.0796041859771859,0.125063192396243,-0.540959963213797
"11","11","Restored","2017","Restored2017",0.183300833967836,0.0888813396919829,-0.435216514429976
"12","12","Restored","2017","Restored2017",0.282077377655146,-0.0636147073600721,-0.35635524977944
"13","13","Restored","2017","Restored2017",0.406599829995524,-0.0344369475039299,-0.156209345859248
"14","14","Restored","2017","Restored2017",0.31160716533667,0.444370010669974,0.0425406879268345
"15","15","Restored","2017","Restored2017",0.487735656154456,0.483562456375491,-0.164719901168093
"16","16","Restored","2017","Restored2017",0.342467020917435,0.570113271071786,-0.498232599105945
"17","17","Restored","2017","Restored2017",0.185232307178287,0.365852473007062,0.0909099391103392
"18","18","Restored","2017","Restored2017",0.761399878898078,-0.466160983553763,0.189616672954345
"19","19","Uninvaded","2017","Uninvaded2017",-0.368775486753008,0.241931949625277,0.349880668563595
"20","20","Uninvaded","2017","Uninvaded2017",-0.257344454619792,0.488722068272358,0.495218661419223
"21","21","Uninvaded","2017","Uninvaded2017",0.0779649107932394,0.0640551435666542,0.66418924729957
"22","22","Uninvaded","2017","Uninvaded2017",-0.304416424867007,0.379276576479927,-0.438750331551229
"23","23","Uninvaded","2017","Uninvaded2017",0.719329312674932,-0.095219214340432,0.394009091078484
"24","24","Uninvaded","2017","Uninvaded2017",-0.496718343065188,0.372289429652286,-0.132828507656777
"25","25","Uninvaded","2017","Uninvaded2017",-0.32450613651694,0.511892769216996,-0.0126189965245716
"26","26","Uninvaded","2017","Uninvaded2017",0.0567476305747507,0.289047331220636,-0.128208259455659
"27","27","Uninvaded","2017","Uninvaded2017",-0.0683264961482088,0.530981057028543,0.0559332581143054
"28","28","Invaded","2018","Invaded2018",-0.305867738106299,-0.255804454590963,0.218815368912547
"29","29","Invaded","2018","Invaded2018",-0.232287915449516,-0.290294132139522,0.35011415382982
"30","30","Invaded","2018","Invaded2018",-0.268315004307883,-0.575306664132047,-0.120602350547245
"31","31","Invaded","2018","Invaded2018",-0.303215091147118,-0.20267093434685,-0.122207474113983
"32","32","Invaded","2018","Invaded2018",-0.228212709589111,-0.391237551876145,0.154964797300135
"33","33","Invaded","2018","Invaded2018",-0.0820000048743118,-0.51209008425052,0.248999207899203
"34","34","Invaded","2018","Invaded2018",-0.277243166022511,-0.340975949108245,-0.0415028422774537
"35","35","Invaded","2018","Invaded2018",-0.155415747807608,-0.0794338506590126,0.408691901105324
"36","36","Invaded","2018","Invaded2018",0.386840325237667,0.407124040730833,0.365874956250814
"37","37","Restored","2018","Restored2018",0.448681352158974,-0.302511703020626,-0.393890746883444
"38","38","Restored","2018","Restored2018",0.202578663074177,-0.254730010999366,-0.316036622253097
"39","39","Restored","2018","Restored2018",0.110452704379183,-0.130242523363194,-0.396036472457383
"40","40","Restored","2018","Restored2018",0.47550848301128,-0.430433935395792,-0.115018407473277
"41","41","Restored","2018","Restored2018",0.542008089142898,0.0842290859801776,-0.217881496993967
"42","42","Restored","2018","Restored2018",0.420362589081444,0.00515160149643481,0.01154967301721
"43","43","Restored","2018","Restored2018",0.314934944495788,-0.142571787156103,-0.0171042172538385
"44","44","Restored","2018","Restored2018",0.616320622345269,-0.151510123600241,-0.177619878011623
"45","45","Restored","2018","Restored2018",0.218405503133506,0.127623330126947,0.253974662013264
"46","46","Uninvaded","2018","Uninvaded2018",0.0268694015554126,-0.205241917580859,0.25792991171001
"47","47","Uninvaded","2018","Uninvaded2018",-0.114740141038603,0.18498912925025,0.220590025113453
"48","48","Uninvaded","2018","Uninvaded2018",-0.511251131170962,-0.252622896285265,0.0463693221625141
"49","49","Uninvaded","2018","Uninvaded2018",-0.465068414325825,-0.0646832023487174,0.366084947820746
"50","50","Uninvaded","2018","Uninvaded2018",-0.0803918607409183,-0.452334253248604,-0.18141374625978
"51","51","Uninvaded","2018","Uninvaded2018",-0.27580876057344,-0.310549978525802,-0.238781629686438
"52","52","Uninvaded","2018","Uninvaded2018",0.791893604559766,0.101098018976939,0.0700591386583892
"53","53","Uninvaded","2018","Uninvaded2018",-0.340022359094632,-0.436806732677462,0.0304010634379649
"54","54","Uninvaded","2018","Uninvaded2018",-0.11957222417009,-0.609678738058176,0.0732964806600804
