Site,Treatment,Year,Habitat,Phalacridae,Lampyridae,Nitidulidae,AnthiciLarv,Coccinellida,ErotLarvae,Cecidomyiida,Sciaridae,Scatopsidae,Phoridae,Ceratopogoni,Chironomidae,Culicidae,Chaoboridae,Dolichopodid,Empididae,Psychodidae,Ephydridae,Carnidae,Sciomyzidae,Ulidiidae,Chloropidae,Agromyzidae,Anthomyzidae,Drosophilida,Muscidae,Anthomyiidae,Calliphorida,Stratiomyida,Tabanidae,Tipulidae,Dixidae,Syrphidae,Caenidae,Baetidae,Ephemerellid,Pteromalidae,Eulophidae,Aphelinidae,Ceraphronida,Megaspilidae,Scelionidae,Platygastrid,Braconidae,Ichneumonida,Pompilidae,Diapriidae,Sphecidae,Eurytomidae,Mymaridae,Encyrtidae,Halictidae,Hemerobiidae,Sisyridae,Libellulidae,Lestidae,Coenagrionid,Thysanoptera,Hydroptilida,Leptoceridae,Molannidae,Polycentropo,Phryganeidae,Limnephilida,Psocoptera,Cosmopterigi,Gelechiidae,Gracillariid,Noctuidae,Crambidae
IN1,Invaded,2018,Phragmites,0,1,5,1,0,1,1,0,0,1,13,212,1,0,0,0,0,7,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,7,0,3,0,1,0,4,0,0,0,0,0,0
IN2,Invaded,2018,Phragmites,1,0,0,0,2,3,1,0,0,1,0,128,44,0,0,0,0,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,23,3,0,4,0,0,0,0,8,0,0,0,0,0
IN3,Invaded,2018,Phragmites,0,0,6,0,1,0,0,0,0,7,8,201,4,0,0,0,0,2,0,0,0,6,0,0,0,0,5,1,2,0,9,7,0,0,0,0,0,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,17,2,0,0,0,1,1,1,0,0,0,0,0,0
IN4,Invaded,2018,Phragmites,0,0,0,0,2,0,1,0,0,1,24,584,3,0,8,0,0,2,1,1,0,2,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,2,3,3,0,1,1,1,0,0,0,0,1,0,0,0,0,0,9,1,18,5,0,4,0,0,0,17,10,0,0,0,0,1
IN5,Invaded,2018,Phragmites,0,2,0,0,7,1,0,0,0,12,1,117,61,2,0,0,0,2,1,0,0,0,0,0,0,1,1,2,3,0,0,0,0,1,0,0,1,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,7,1,62,0,1,3,0,0,1,8,3,0,0,0,0,0
IN6,Invaded,2018,Phragmites,1,0,0,0,1,0,0,0,0,2,2,140,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,10,4,5,3,0,0,0,3,57,0,0,0,0,0
IN7,Invaded,2018,Phragmites,0,0,0,1,8,0,1,0,0,4,0,125,56,9,0,0,0,13,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,30,0,0,5,0,0,2,17,24,1,0,0,1,0
IN8,Invaded,2018,Phragmites,0,2,0,1,1,0,0,0,0,1,1,620,11,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,30,0,6,0,0,0,0,30,5,0,0,0,0,0
RES1,Treated,2018,Treated,0,0,0,0,0,0,0,1,0,0,1292,1227,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1
RES2,Treated,2018,Treated,0,0,0,0,0,0,0,1,0,0,129,4620,0,0,0,0,0,14,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,2,6,2,209,40,0,1,0,0,0,0,0,0,0,13
RES3,Treated,2018,Treated,0,0,0,0,2,0,0,0,0,0,25,2571,0,1,0,0,0,2,0,0,0,0,0,0,1,0,3,0,0,5,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3,1,3,15,0,4,0,0,0,0,0,0,0,4
RES4,Treated,2018,Treated,0,0,0,0,0,0,0,1,0,0,10,1872,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,20,3,0,0,3,0,0,0,0,0,0,2
RES5,Treated,2018,Treated,0,0,0,0,0,0,0,0,0,0,14,1951,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,22,37,0,0,0,0,0,0,0,0,0,0
RES6,Treated,2018,Treated,0,0,0,0,1,0,0,0,0,1,12,3231,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,3,26,0,7,8,0,0,0,0,0,0,1
RES7,Treated,2018,Treated,0,0,0,1,0,0,0,1,0,0,129,2893,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,4,67,0,3,2,1,0,0,0,0,0,0
RES8,Treated,2018,Treated,0,0,0,0,0,0,0,0,0,0,16,2114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,0,0,0,0,0,0,0,0,0,0
RESOW,Treated,2018,Treated,0,0,0,0,2,0,0,1,0,0,2,330,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,13,4,0,2,0,0,0,0,0,0,0,0
UNM1,Uninvaded,2018,Meadow,0,3,1,0,10,0,0,0,0,0,80,1062,0,0,1,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,1,0,1,1,1,0,0,0,0,0,1
UNM2,Uninvaded,2018,Meadow,0,0,0,0,0,0,0,0,0,0,25,195,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0
UNM3,Uninvaded,2018,Meadow,1,1,1,0,2,0,0,0,0,0,9,51,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,0,1,0,0,1,2,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0
UNM4,Uninvaded,2018,Meadow,0,1,0,0,0,0,0,0,0,0,45,54,0,0,0,0,0,23,4,0,0,1,0,0,0,0,0,1,1,0,0,0,3,1,0,0,4,1,0,1,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,0,0,1
UNM5,Uninvaded,2018,Meadow,0,6,3,0,0,0,0,2,0,0,23,79,0,0,0,0,0,4,1,1,0,0,3,0,0,0,9,2,1,0,1,3,1,3,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,8,1,1,0,0,1,3,0,0,0,1,0,0
UNM6,Uninvaded,2018,Meadow,0,3,2,0,2,0,1,0,0,0,14,380,0,0,0,0,0,7,0,0,0,1,1,0,0,0,0,0,0,0,8,4,0,0,0,0,4,3,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,29,12,0,1,0,3,1,0,0,0,1,0,0,0
UNT1,Uninvaded,2018,Emergent,0,0,0,0,1,0,0,1,0,0,12,177,45,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,4,4,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,7,22,0,2,0,0,1,15,18,40,0,0,2,0
UNT2,Uninvaded,2018,Emergent,1,0,0,0,0,1,1,1,0,0,1,97,10,0,0,0,0,1,0,0,0,3,0,0,0,0,8,0,1,0,0,6,2,0,0,0,1,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,1,9,52,2,0,0,2,0
